NAME,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,BA,OBP,SLG,OPS,OWAR
Gus Schlosser,10,1,0,1,0,0,0,0,1,0,0,0,1,1,1,2,0.1
Evan Gattis,69,243,30,71,11,1,17,42,135,17,56,0,0.292,0.35,0.556,0.905,2.3
Tommy La Stella,54,192,15,55,11,1,0,24,68,22,23,2,0.286,0.361,0.354,0.715,0.6
Justin Upton,100,368,53,104,24,1,18,60,184,39,110,7,0.283,0.353,0.5,0.853,2.4
Freddie Freeman,106,407,69,115,28,4,14,57,193,55,90,0,0.283,0.373,0.474,0.847,2.6
Chris Johnson,103,399,32,110,20,0,8,46,154,11,104,3,0.276,0.297,0.386,0.683,0.4
Jason Heyward,103,396,53,103,16,2,9,42,150,50,70,12,0.26,0.35,0.379,0.728,1.7
Andrelton Simmons,100,376,36,96,12,4,5,34,131,25,38,3,0.255,0.3,0.348,0.649,0.7
Gerald Laird,37,111,10,27,8,0,0,9,35,13,23,0,0.243,0.328,0.315,0.643,0.1
Christian Bethancourt,13,50,4,12,1,0,0,3,13,2,14,0,0.24,0.283,0.26,0.543,-0.1
B.J. Upton,99,387,53,84,16,5,7,27,131,36,127,16,0.217,0.284,0.339,0.623,0.4
Ramiro Pena,54,101,7,21,3,0,3,8,33,9,28,0,0.208,0.273,0.327,0.599,0.1
Tyler Pastornicky,28,40,4,8,0,1,0,2,10,6,11,0,0.2,0.304,0.25,0.554,-0.2
Phil Gosselin,3,5,0,1,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4,-0.1
Ryan Doumit,66,106,7,21,2,0,3,14,32,4,32,1,0.198,0.232,0.302,0.534,-0.3
Dan Uggla†,48,130,13,21,3,0,2,10,30,10,40,0,0.162,0.241,0.231,0.472,-0.7
Jordan Schafer,60,76,9,12,4,0,0,2,16,9,18,15,0.158,0.247,0.211,0.458,-0.1
Mike Minor,16,32,3,5,0,0,1,3,8,0,15,0,0.156,0.156,0.25,0.406,0.1
Ervin Santana,20,44,6,5,0,0,0,0,5,1,18,0,0.114,0.133,0.114,0.247,-0.1
Gavin Floyd,9,18,0,2,0,0,0,0,2,0,12,0,0.111,0.111,0.111,0.222,-0.1
Julio Teheran,22,47,1,5,1,0,0,4,6,1,18,0,0.106,0.125,0.128,0.253,0
David Hale,29,15,1,1,0,0,0,1,1,0,7,0,0.067,0.063,0.067,0.129,-0.1
Aaron Harang,21,36,1,2,0,0,0,0,2,1,16,0,0.056,0.081,0.056,0.137,-0.4
Alex Wood,24,20,1,1,0,0,0,0,1,2,11,0,0.05,0.136,0.05,0.186,0
Craig Kimbrel,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Walden,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Carpenter,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Varvaro,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Jaime,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Beato,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Avilan,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Buchter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chasen Shreve,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shae Simmons,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Thomas,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
